apt_code,apt_name,si,gu,dong,연면적,관리비부과면적,total_home_num,일반인원,경비인원,청소인원,const_firm,const_complete,건축면적,아파트평형,층수,parking_num,아파트시설,전기안전관리방법,화재수신반유무,홈네트워크-주차관제시스템,예산지출액,경비실CCTV카메라수,경비실CCTV모니터수,택비방식,경비예산 지출액,경비근무형태,음식물처리방식,청소 연간예산 지출액,청소세대당청소인원,소독면적,소독 년 예산 지출액,엘리베이터 수,엘리베이터 계약방식,엘리베이터 설치년도 운행,엘리베이터 종류,엘리베이터 운행층,엘리베이터 관리형태,엘리베이터 년 예산지출,엘리베이터 수리비,엘리베이터 월수리건수,수선유지충당금,수선유지대체금,전체동수,급수시설,주소(나머지),아파트고유번호,우편번호,좌표X,좌표Y,주소(도로명),주소(도로 상세주소),법정동주소,단지분류,도로명주소,전용면적별 세대현황1,전용면적별 세대현황2,85_135이하,135초과,주거전용면적
A14319006,자양2차현대,서울,광진구,자양동,28557,24887,235,4,4,3,현대산업개발,1995-04-01 00:00:00.0,0,,1층|19,205,,전기안전대행업체위탁,관리실,무,0,,경비실,,0,격일제,1개소,0,,0,0,7대,,,로프식,전층운행,,0,0,,0,0,1,고가수조,서울 광진구 자양3동 761,207-80-00184,143190,127.070339,37.534323,뚝섬로34길,9,서울특별시 광진구 자양동 761 자양2차현대,아파트,서울특별시 광진구 뚝섬로34길 9,35,200,0,,19064.56
A13481802,둔촌현대4차,서울,강동구,둔촌2동,27334,26481,235,4,4,2,현대산업개발,1996-02-01 00:00:00.0,0,,19|,183,관리사무소 노인정 어린이놀이터 지하주차장,대행위탁,화재수신반(관리) 승강기비상호출(관리) CCTV 야간당직자(관리),,124502364,모니터3개 카메라42개,,택배수령,63840000,격일제,1개소,21960000,,26481,3600000,7대,종합계약(FM),1995년도 설치 15년간 운행,로프식,전층운행,,14523950,227700,1건/월,12835960,0,2,고가수조방식,,212-80-01434,134818,127.1441487,37.5299686,진황도로,189,서울특별시 강동구 둔촌동 89 둔촌현대4차,아파트,서울특별시 강동구 진황도로61길 7,62,128,45,,19698.32
A13113001,신내동성7차,서울,중랑구,신내동,36477,22753,235,3,4,2,(주)동성,1999-04-01 00:00:00.0,330.14,,18|,279,경비실전기실펌프실관리사무실쓰레기분리수거함어린이놀이터노인정헬스장,전기안전대행업체위탁,관리,무,84405710,2대,33개소,,59420770,격일제,,19230000,,0,2725200,6,일반계약,10년,티센쿠르푸동양E/L,전층운행,,6932860,810840,,21715500,0,1,고가수조방식,동성7차아파트,2048261298,2067,127.0975415,37.6063234,신내로14길,21,서울특별시 중랑구 신내동 797 신내동성7차,아파트,서울특별시 중랑구 신내로14길 21,148,66,21,,16792.38
A13981402,상계청암1단지,서울,노원구,상계동,34025,23400,234,7,,2,대림산업(주)외,2001-06-01 00:00:00.0,2120.15,84.80,19|,265,어린이놀이터 노인정 유아원 관리사무소 기전실 경비실 지하주차장,위탁,유,무,0,45대,총45대(지하주차장27대 외부5대 엘리베이터7대 현관입구7대 지하주차장계단4대),택배수령,0,격일,2개소 3/주,0,,23400,2400000,7대,유지보수계약,2001년설치 9년간 운행,VVVF 로프식,12층 제외운행,로프교체,5040000,1050840,1건/월,0,59620,5,고가수조,청암1단지아파트,210-80-03663,1645,127.0801114,37.6661444,덕릉로112길,24,서울특별시 노원구 상계동 1275 상계청암1단지,아파트,서울특별시 노원구 덕릉로112길 24,0,234,0,,19843.2
A13905202,월계흥화브라운빌,서울,노원구,월계2동,31045,24311,233,4,2,2,흥화공업,,2010.29,76.03|92.56|109.09,15|14,252,관리사무실경로당어린이놀이터주차장공동저수시설승강기,,유,,0,3,37대 ,,0,격일 근무,,0,,24311,2400000,8,,4년,,지하1층~15층,,7392000,1106820,,0,0,4,,,217-82-61028,139052,127.0439797,37.6316871,우이천로2나길,14,서울특별시 노원구 월계동 939 월계흥화브라운빌,아파트,서울특별시 노원구 우이천로2나길 14,26,207,0,,18923.61
A13882402,문정푸르지오1차,서울,송파구,문정1동,30284,23657,233,4,3,2,대우,1999-10-01 00:00:00.0,0,82.5|112.2,19|6,242,경비실관리동 노인정 지하주차장 어린이 놀이터 등,자체관리,관리,,479228210,3대(16채널),지상주차장승강기,,45000000,2교대,,17876640,,23694,294000,7대,위탁관리,9년,로프식,전층운행,,6468000,1070000,매월1회,11363050,0,4,고가수조 방식,,215-80-03940,138824,127.1281123,37.4868865,문정로,55,서울특별시 송파구 문정동 18 문정푸르지오1차,아파트,서울특별시 송파구 문정로 55,81,152,0,,17745.76
A15303103,시흥성지,서울,금천구,시흥1동,23439,22462,233,4,2,2,성지건설(주),1986-08-01 00:00:00.0,2043.7,75.53|91.96|108.54,13|,200,관리실노인정1어린이놀이터1경비실기계실주차장,전기안전대행업체위탁,관리중,없음,108991780,13대,엘리베이터 내.외부및 단지내 주차장,무,34351540,격일제,매일수거처리(업체),22894580,각동1명,22462,2952000,4대,유지보수위탁용역계약,25년(2004년 일부수리),로프식,12층제외,수시교체(고장시),4191000,514800,1-2회,7008840,3693030,2,지하저수조 고가저수조,,119-82-60287,153031,126.8979308,37.4509225,,,서울특별시 금천구 시흥동 173-8 시흥성지,아파트,서울특별시 금천구 시흥대로51길 55,49,184,0,,16436.03
A15007002,신대림한솔솔파크,서울,영등포구,대림동,34345,26299,232,4,3,3,한솔건설(주),,0,,19,274,경로당 어린이놀이터,,여,여,0,44대,,,0,24시근무 격일제,세대에서 각자,0,,0,0,7,,,,,,0,0,,0,0,5,,1123,108-80-07648,150070,126.8995138,37.4873594,도림천로,431,서울특별시 영등포구 대림동 1123 신대림한솔솔파크,아파트,서울특별시 영등포구 도림천로 431,0,211,21,,19865.84
A13527005,현대비전21,서울,강남구,도곡동,42432,16604,232,9,4,8,ㅁ,1999-11-01 00:00:00.0,1729.56,,27층|,291,,직원선임,관리,유,120000000,30대,주차장20대엘리베이터6대지하5층재활용쓰레기장4대,,36694440,격일제,1개소,41325960,,1660408,2109480,2대(비상용16인승),종합계약(FM),1999년설치,로프식,B4B5B111층~27층,쉬브/로브(5년)카(반영구)권상기(5년)전기제어반(15년)브레이커(3년)완충기(10년)균형추(10년)안전장치(5년),4752000,396000,월1회정기점검,38117040,0,1,고가수조방식,467-19 현대비젼21,220-80-00815,135270,127.0513325,37.4873651,언주로30길,10,서울특별시 강남구 도곡동 467-19 현대비전21,주상복합,서울특별시 강남구 언주로30길 10,232,0,0,,7899.14
A14386802,자양경남,서울,광진구,자양2동,30690,22721,232,815,4,2,경남기업(주),1999-06-01 00:00:00.0,1689,84.58|108.50|142.19,1|19,249,노인정 어린이놀이터,위탁,관리,무,0,32,27,무,72671040,격일제교대,,23148000,232세대 / 2명,22721,2400000,4개,전체,1999년,로프식,전체층,버튼교체외,3696000,308000,월/1건,6300000,2479840,2,고가수조,뚝섬로52길 71 (641번지),207-80-01242,143868,127.0789282,37.5291422,뚝섬로52길,71,서울특별시 광진구 자양동 641 자양경남,아파트,서울특별시 광진구 뚝섬로52길 71,156,38,38,,16950.72
